sale_id,date,amount
1,1/15/2016,-135.2670825
2,1/15/2016,-82.27258235
3,1/15/2016,-48.26587835
4,1/15/2016,-47.20384633
5,1/15/2016,-1.737175369
6,2/15/2016,-97.53832532
7,2/15/2016,-131.9876293
8,2/15/2016,-62.42589677
9,2/15/2016,-38.40281518
10,2/15/2016,-4.131354105
11,3/17/2016,-170.8377378
12,3/17/2016,-89.77849176
13,3/17/2016,-66.52875505
14,3/17/2016,-43.15254607
15,3/17/2016,-10.50937469
16,4/17/2016,-126.8831183
17,4/17/2016,-82.71506173
18,4/17/2016,-67.66810105
19,4/17/2016,-52.07653237
20,4/17/2016,-6.260756733
21,5/18/2016,-182.4891574
22,5/18/2016,-80.76695112
23,5/18/2016,-54.63773172
24,5/18/2016,-30.01027204
25,5/18/2016,-7.42953397
26,6/18/2016,-129.9933611
27,6/18/2016,-76.70785723
28,6/18/2016,-72.10932589
29,6/18/2016,-34.41040527
30,6/18/2016,-5.807807368
31,7/19/2016,-118.5423965
32,7/19/2016,-71.72346784
33,7/19/2016,-51.14383086
34,7/19/2016,-45.79406966
35,7/19/2016,-5.854042076
36,8/19/2016,-79.93226363
37,8/19/2016,-109.0927927
38,8/19/2016,-61.2853085
39,8/19/2016,-26.28029499
40,8/19/2016,-7.234994496
41,9/19/2016,-164.7652292
42,9/19/2016,-96.71869235
43,9/19/2016,-68.64196197
44,9/19/2016,-39.74875513
45,9/19/2016,-7.370065912
46,10/20/2016,-87.38896131
47,10/20/2016,147.8390899
48,10/20/2016,-133.3175071
49,10/20/2016,-33.12184281
50,10/20/2016,-5.283792026
51,11/20/2016,-156.0985285
52,11/20/2016,-94.9180937
53,11/20/2016,-35.95782815
54,11/20/2016,-38.64739378
55,11/20/2016,-2.387284031
56,12/21/2016,-139.7785471
57,12/21/2016,-74.7215883
58,12/21/2016,-36.11058125
59,12/21/2016,-33.96107689
60,12/21/2016,-6.783443658
61,1/21/2017,-95.35350862
62,1/21/2017,-129.2830272
63,1/21/2017,-44.46797048
64,1/21/2017,-27.57980439
65,1/21/2017,-7.610625236
66,2/21/2017,-134.7622247
67,2/21/2017,-64.05963201
68,2/21/2017,-29.98876902
69,2/21/2017,-37.19432253
70,2/21/2017,-4.972451786
71,3/24/2017,-158.380324
72,3/24/2017,-72.10052543
73,3/24/2017,-53.2884343
74,3/24/2017,-58.41208873
75,3/24/2017,-8.47765965
76,4/24/2017,-133.6631138
77,4/24/2017,-56.6543669
78,4/24/2017,-35.97296027
79,4/24/2017,-39.38015776
80,4/24/2017,-6.166299324
81,5/25/2017,-172.3932896
82,5/25/2017,-81.3271151
83,5/25/2017,-43.82142374
84,5/25/2017,-25.4883431
85,5/25/2017,-2.230905726
86,6/25/2017,-174.6872254
87,6/25/2017,-94.24910817
88,6/25/2017,-44.45306052
89,6/25/2017,-18.95976034
90,6/25/2017,-3.852454348
91,7/26/2017,-142.0812519
92,7/26/2017,-67.24948032
93,7/26/2017,-33.70360354
94,7/26/2017,-43.13628476
95,7/26/2017,-4.662155823
96,8/26/2017,-126.573002
97,8/26/2017,-96.10868409
98,8/26/2017,-25.62903215
99,8/26/2017,-33.959298
100,8/26/2017,-6.702241107
101,9/26/2017,-148.3750026
102,9/26/2017,-48.28456008
103,9/26/2017,-67.64005843
104,9/26/2017,-35.30101725
105,9/26/2017,-3.017375444
106,10/27/2017,-158.5852349
107,10/27/2017,-75.93506393
108,10/27/2017,-36.85027783
109,10/27/2017,-45.05271527
110,10/27/2017,-4.008319898
111,1/15/2016,-5.777389588
112,1/15/2016,-6.062961289
113,1/15/2016,-2.1424655
114,1/15/2016,-2.169925822
115,1/15/2016,-0.067304388
116,2/15/2016,-8.675712527
117,2/15/2016,-7.076593143
118,2/15/2016,-2.637357731
119,2/15/2016,-2.222847784
120,2/15/2016,-0.275400801
121,3/17/2016,-7.125572199
122,3/17/2016,-4.651032592
123,3/17/2016,-1.64095789
124,3/17/2016,-2.11530114
125,3/17/2016,-0.354047652
126,4/17/2016,-9.078668838
127,4/17/2016,-8.237872855
128,4/17/2016,-3.315984766
129,4/17/2016,-2.944739829
130,4/17/2016,-0.11852862
