sale_id,date,amount
1,1/15/16,-69.59411702
2,1/15/16,-41.36228712
3,1/15/16,-35.96923911
4,1/15/16,-28.77684608
5,1/15/16,-9.889785667
6,2/15/16,-49.22221303
7,2/15/16,-63.7577096
8,2/15/16,-49.41375594
9,2/15/16,-22.49779281
10,2/15/16,-6.249469932
11,3/17/16,-55.45692516
12,3/17/16,-48.3343977
13,3/17/16,-47.79178115
14,3/17/16,-27.67170758
15,3/17/16,-7.729599343
16,4/17/16,-54.7981202
17,4/17/16,-44.49227698
18,4/17/16,-50.13197845
19,4/17/16,-30.63368326
20,4/17/16,-6.373468214
21,5/18/16,-64.70120434
22,5/18/16,-48.50956778
23,5/18/16,-39.28740251
24,5/18/16,-22.65777006
25,5/18/16,-7.841806184
26,6/18/16,-51.49240983
27,6/18/16,-45.48871316
28,6/18/16,-47.23711059
29,6/18/16,-21.85086629
30,6/18/16,-4.919757133
31,7/19/16,-71.17048509
32,7/19/16,-58.92119644
33,7/19/16,-36.05261491
34,7/19/16,-37.66952854
35,7/19/16,-4.381929989
36,8/19/16,-75.31774045
37,8/19/16,-70.50622319
38,8/19/16,-28.3648346
39,8/19/16,-23.07809603
40,8/19/16,-3.500463263
41,9/19/16,-90.75898665
42,9/19/16,-69.96524564
43,9/19/16,-45.90156386
44,9/19/16,-34.44377197
45,9/19/16,-4.895623621
46,10/20/16,-52.35279939
47,10/20/16,-37.10588785
48,10/20/16,-30.80415075
49,10/20/16,-24.08316427
50,10/20/16,-4.627562167
51,11/20/16,-92.79373088
52,11/20/16,-39.35333737
53,11/20/16,-20.19045939
54,11/20/16,-21.07656049
55,11/20/16,0.931853058
56,12/21/16,-89.42392865
57,12/21/16,-43.58962894
58,12/21/16,-16.35306328
59,12/21/16,-36.94170261
60,12/21/16,-19.68172345
61,1/21/17,-50.37710116
62,1/21/17,-72.83666035
63,1/21/17,-29.12983756
64,1/21/17,-24.57129814
65,1/21/17,-2.847853987
66,2/21/17,-95.67160828
67,2/21/17,-47.38929627
68,2/21/17,-21.8937767
69,2/21/17,-22.40266401
70,2/21/17,1.725343636
71,3/24/17,-80.49135311
72,3/24/17,-50.16492711
73,3/24/17,-21.9585482
74,3/24/17,-43.06680101
75,3/24/17,-3.597024785
76,4/24/17,-17.97065479
77,4/24/17,-77.68066019
78,4/24/17,-57.42925754
79,4/24/17,-39.94312562
80,4/24/17,-9.131830889
81,5/25/17,-145.705886
82,5/25/17,-45.12042988
83,5/25/17,-27.49332798
84,5/25/17,-26.5058102
85,5/25/17,-2.755234719
86,6/25/17,-59.03475371
87,6/25/17,-96.77115514
88,6/25/17,-60.1533961
89,6/25/17,-36.46568546
90,6/25/17,-4.847462818
91,7/26/17,-73.55978779
92,7/26/17,-41.56288578
93,7/26/17,-41.00835181
94,7/26/17,-26.03203863
95,7/26/17,-4.319699931
96,8/26/17,-58.15355476
97,8/26/17,-52.51736431
98,8/26/17,-61.00356791
99,8/26/17,4.687508271
100,8/26/17,-4.572287522
101,9/26/17,-87.28820265
102,9/26/17,-43.4565015
103,9/26/17,-50.12033725
104,9/26/17,-37.34149754
105,9/26/17,-4.467434609
106,10/27/17,-86.26983053
107,10/27/17,-60.22763213
108,10/27/17,-45.5543612
109,10/27/17,-36.76479963
110,10/27/17,-4.186672918
111,1/15/16,-3.572684917
112,1/15/16,-3.448044117
113,1/15/16,-1.685887455
